,Participant,Group,window,report,MW,MSD
0,11003,B,5,probe,f,0.014903832678058108
1,11003,B,5,probe,a,0.015599617903544504
2,11003,B,5,probe,a,0.0197446229385408
3,11003,B,5,probe,a,0.015610691691067581
4,11003,B,5,probe,a,0.022769880384732755
5,11003,B,5,probe,u,0.024305519587948504
6,11003,B,10,probe,f,0.021868105998438834
7,11003,B,10,probe,a,0.01687369976766647
8,11003,B,10,probe,a,0.01623384271310929
9,11003,B,10,probe,a,0.023343520380649064
10,11003,B,10,probe,a,0.018548031315516952
11,11003,B,10,probe,u,0.022779555991905148
12,11003,B,15,probe,f,0.018997545600937617
13,11003,B,15,probe,a,0.017145992374835845
14,11003,B,15,probe,a,0.018692549620680343
15,11003,B,15,probe,a,0.023312243937923974
16,11003,B,15,probe,a,0.018664952254949962
17,11003,B,15,probe,u,0.021792865629373475
18,11003,B,20,probe,f,0.0183892791041837
19,11003,B,20,probe,a,0.017954884008994296
20,11003,B,20,probe,a,0.018864417371177725
21,11003,B,20,probe,a,0.021860629405904525
22,11003,B,20,probe,a,0.01636595416692399
23,11003,B,20,probe,u,0.02465998666244105
24,11003,B,25,probe,f,0.017747280781906138
25,11003,B,25,probe,a,0.017431475788836175
26,11003,B,25,probe,a,0.01757720914415205
27,11003,B,25,probe,a,0.02145198939327024
28,11003,B,25,probe,a,0.015811455716718173
29,11003,B,25,probe,u,0.025688483915345523
30,11003,B,30,probe,f,0.01649330477647932
31,11003,B,30,probe,a,0.016936514087275808
32,11003,B,30,probe,a,0.01778502903602526
33,11003,B,30,probe,a,0.02029051091509661
34,11003,B,30,probe,a,0.016667191512639276
35,11003,B,30,probe,u,0.02347072795732494
36,13604,B,5,probe,a,0.017256179563124387
37,13604,B,5,probe,f,0.013261705894763776
38,13604,B,5,probe,f,0.008239968139983683
39,13604,B,5,probe,a,0.015092889688926938
40,13604,B,5,probe,u,0.014336127834920566
41,13604,B,5,probe,a,0.009579359176301459
42,13604,B,10,probe,a,0.01579939189942052
43,13604,B,10,probe,f,0.014179489291107572
44,13604,B,10,probe,f,0.011209340422058208
45,13604,B,10,probe,a,0.013879158398963316
46,13604,B,10,probe,u,0.016948968840245788
47,13604,B,10,probe,a,0.014326320034785383
48,13604,B,15,probe,a,0.017189997893435872
49,13604,B,15,probe,f,0.01589677608115607
50,13604,B,15,probe,f,0.013610597782162098
51,13604,B,15,probe,a,0.013898293425631888
52,13604,B,15,probe,u,0.018444350563645434
53,13604,B,15,probe,a,0.017171338411509383
54,13604,B,20,probe,a,0.018017949441040848
55,13604,B,20,probe,f,0.014550762325238458
56,13604,B,20,probe,f,0.013360590803012823
57,13604,B,20,probe,a,0.015433027112179672
58,13604,B,20,probe,u,0.01717616299293855
59,13604,B,20,probe,a,0.01555817019306707
60,13604,B,25,probe,a,0.016526265559089086
61,13604,B,25,probe,f,0.013591254398891544
62,13604,B,25,probe,f,0.0129039561922783
63,13604,B,25,probe,a,0.015469212763399699
64,13604,B,25,probe,u,0.016546520624526346
65,13604,B,25,probe,a,0.015599802492096474
66,13604,B,30,probe,a,0.015390231068127347
67,13604,B,30,probe,f,0.014926775310446375
68,13604,B,30,probe,f,0.011989100844382941
69,13604,B,30,probe,a,0.014336880361362788
70,13604,B,30,probe,u,0.016296467444338446
71,13604,B,30,probe,a,0.017394953972906323
72,15496,A,5,probe,u,0.02379915142934152
73,15496,A,5,probe,a,0.019943082273457254
74,15496,A,5,probe,a,0.025116344732714846
75,15496,A,5,probe,a,0.022860333003583345
76,15496,A,5,probe,a,0.013846130182057548
77,15496,A,5,probe,f,0.027962694217495178
78,15496,A,10,probe,u,0.028176777713845223
79,15496,A,10,probe,a,0.023358742424265666
80,15496,A,10,probe,a,0.02150290361853991
81,15496,A,10,probe,a,0.022049098682448486
82,15496,A,10,probe,a,0.021201604005444442
83,15496,A,10,probe,f,0.024756964746184926
84,15496,A,15,probe,u,0.028876448333339494
85,15496,A,15,probe,a,0.02231123978863056
86,15496,A,15,probe,a,0.0198051651745223
87,15496,A,15,probe,a,0.021473512476908575
88,15496,A,15,probe,a,0.019190995360741987
89,15496,A,15,probe,f,0.0218969648567146
90,15496,A,20,probe,u,0.026682898617915677
91,15496,A,20,probe,a,0.021160997493975334
92,15496,A,20,probe,a,0.01912431736256852
93,15496,A,20,probe,a,0.021422009339221296
94,15496,A,20,probe,a,0.018123875340590075
95,15496,A,20,probe,f,0.020563552113138366
96,15496,A,25,probe,u,0.02424473086992797
97,15496,A,25,probe,a,0.021907344747801424
98,15496,A,25,probe,a,0.029003998679842668
99,15496,A,25,probe,a,0.020156562219721025
100,15496,A,25,probe,a,0.02053306558690462
101,15496,A,25,probe,f,0.020975161926920186
102,15496,A,30,probe,u,0.02466870189336256
103,15496,A,30,probe,a,0.02079037931846693
104,15496,A,30,probe,a,0.03176193887578392
105,15496,A,30,probe,a,0.019671647300237263
106,15496,A,30,probe,a,0.020106083418205193
107,15496,A,30,probe,f,0.021129026889854297
108,17431,A,5,probe,a,0.017189756636298858
109,17431,A,5,probe,f,0.023667555639972995
110,17431,A,5,probe,f,0.01942922386031276
111,17431,A,5,probe,a,0.020692462669935786
112,17431,A,5,probe,a,0.017603570377219935
113,17431,A,5,probe,u,0.017730099593495325
114,17431,A,10,probe,a,0.01336208547351571
115,17431,A,10,probe,f,0.019257321317270946
116,17431,A,10,probe,f,0.019038027365273817
117,17431,A,10,probe,a,0.021247866191503016
118,17431,A,10,probe,a,0.01527708928155962
119,17431,A,10,probe,u,0.02278808387823121
120,17431,A,15,probe,a,0.011234217468491571
121,17431,A,15,probe,f,0.019714439095297305
122,17431,A,15,probe,f,0.019604256872720858
123,17431,A,15,probe,a,0.020197356611947995
124,17431,A,15,probe,a,0.015159127266537866
125,17431,A,15,probe,u,0.021135622441628945
126,17431,A,20,probe,a,0.011866662728169929
127,17431,A,20,probe,f,0.019842477269424567
128,17431,A,20,probe,f,0.01827661372204844
129,17431,A,20,probe,a,0.01950076652392086
130,17431,A,20,probe,a,0.015484627624650095
131,17431,A,20,probe,u,0.01979212142051176
132,17431,A,25,probe,a,0.013271421821420902
133,17431,A,25,probe,f,0.019571566093768995
134,17431,A,25,probe,f,0.01841752809934594
135,17431,A,25,probe,a,0.018976343177911546
136,17431,A,25,probe,a,0.014977378800916782
137,17431,A,25,probe,u,0.018619520018654415
138,17431,A,30,probe,a,0.013733512061106637
139,17431,A,30,probe,f,0.019069929220214537
140,17431,A,30,probe,f,0.01812905139368033
141,17431,A,30,probe,a,0.019014897174019624
142,17431,A,30,probe,a,0.01682731178547793
143,17431,A,30,probe,u,0.01827715576585297
144,17713,A,5,probe,a,0.014489624502700717
145,17713,A,5,probe,f,0.01918830923515712
146,17713,A,5,probe,f,0.010907682155629265
147,17713,A,5,probe,a,0.0664453161602624
148,17713,A,5,probe,u,0.019865663768190003
149,17713,A,5,probe,f,0.009757567900313659
150,17713,A,10,probe,a,0.015288748734599655
151,17713,A,10,probe,f,0.019784915501361765
152,17713,A,10,probe,f,0.014020490965874656
153,17713,A,10,probe,a,0.03850804978334227
154,17713,A,10,probe,u,0.015451197565877694
155,17713,A,10,probe,f,0.014889855802751177
156,17713,A,15,probe,a,0.0151756735210802
157,17713,A,15,probe,f,0.020720406547936634
158,17713,A,15,probe,f,0.014713060105365574
159,17713,A,15,probe,a,0.030833768310071605
160,17713,A,15,probe,u,0.01627686810255406
161,17713,A,15,probe,f,0.017894109286809727
162,17713,A,20,probe,a,0.017092710830943415
163,17713,A,20,probe,f,0.032978214557352024
164,17713,A,20,probe,f,0.01361685876190322
165,17713,A,20,probe,a,0.02669177080376627
166,17713,A,20,probe,u,0.0152614616573059
167,17713,A,20,probe,f,0.020435914628466955
168,17713,A,25,probe,a,0.016472634899332848
169,17713,A,25,probe,f,0.032941320238674215
170,17713,A,25,probe,f,0.013012247668342691
171,17713,A,25,probe,a,0.024779579659118478
172,17713,A,25,probe,u,0.01533106380960577
173,17713,A,25,probe,f,0.020828985346028547
174,17713,A,30,probe,a,0.016525315264600247
175,17713,A,30,probe,f,0.039562662858855596
176,17713,A,30,probe,f,0.01332279820389921
177,17713,A,30,probe,a,0.022889334881082916
178,17713,A,30,probe,u,0.01562435416368546
179,17713,A,30,probe,f,0.01966525384440023
180,17996,B,5,probe,f,0.014887839875451286
181,17996,B,5,probe,a,0.041193644992847576
182,17996,B,5,probe,a,0.023555223390119704
183,17996,B,5,probe,a,0.010813485599975244
184,17996,B,5,probe,u,0.015297947765588243
185,17996,B,5,probe,u,0.025512478550801163
186,17996,B,10,probe,f,0.01811028467127704
187,17996,B,10,probe,a,0.03517075843549297
188,17996,B,10,probe,a,0.019130428200998615
189,17996,B,10,probe,a,0.01847017923778873
190,17996,B,10,probe,u,0.01954263785039594
191,17996,B,10,probe,u,0.03403306737001313
192,17996,B,15,probe,f,0.02425780719652099
193,17996,B,15,probe,a,0.02905401767645896
194,17996,B,15,probe,a,0.017991415814362106
195,17996,B,15,probe,a,0.023423325536809706
196,17996,B,15,probe,u,0.017822791014775127
197,17996,B,15,probe,u,0.04437404631504988
198,17996,B,20,probe,f,0.022101991537910568
199,17996,B,20,probe,a,0.025542396185136054
200,17996,B,20,probe,a,0.016776033932407678
201,17996,B,20,probe,a,0.024315926692678826
202,17996,B,20,probe,u,0.01762727515192735
203,17996,B,20,probe,u,0.04676153222125685
204,17996,B,25,probe,f,0.021489395652705454
205,17996,B,25,probe,a,0.023543822232328912
206,17996,B,25,probe,a,0.016744054492613774
207,17996,B,25,probe,a,0.024886684986981305
208,17996,B,25,probe,u,0.017344001467015608
209,17996,B,25,probe,u,0.0499104430957438
210,17996,B,30,probe,f,0.02110952916418776
211,17996,B,30,probe,a,0.022821333075737863
212,17996,B,30,probe,a,0.01739297173879832
213,17996,B,30,probe,a,0.023682092680940053
214,17996,B,30,probe,u,0.019161950955780997
215,17996,B,30,probe,u,0.04558990827090893
216,18730,A,5,probe,u,0.27211288465261063
217,18730,A,5,probe,a,0.16165471998493305
218,18730,A,5,probe,f,0.2458852669403162
219,18730,A,5,probe,u,0.14804746817115944
220,18730,A,5,probe,u,0.20149207249272844
221,18730,A,5,probe,f,0.0648171997777266
222,18730,A,10,probe,u,0.21518575510294363
223,18730,A,10,probe,a,0.15452286868875728
224,18730,A,10,probe,f,0.17714869058016616
225,18730,A,10,probe,u,0.10312611354714145
226,18730,A,10,probe,u,0.22331572400863994
227,18730,A,10,probe,f,0.06664823516368641
228,18730,A,15,probe,u,0.2080461137406918
229,18730,A,15,probe,a,0.18140200430532594
230,18730,A,15,probe,f,0.132160883703602
231,18730,A,15,probe,u,0.12433444532445226
232,18730,A,15,probe,u,0.19865760384903042
233,18730,A,15,probe,f,0.11244634299448333
234,18730,A,20,probe,u,0.1897885629683585
235,18730,A,20,probe,a,0.2223415642151508
236,18730,A,20,probe,f,0.15018061809185151
237,18730,A,20,probe,u,0.17147798570510084
238,18730,A,20,probe,u,0.18088235863170762
239,18730,A,20,probe,f,0.13323818667617263
240,18730,A,25,probe,u,0.1657023232640001
241,18730,A,25,probe,a,0.2103919188933872
242,18730,A,25,probe,f,0.18217804651685096
243,18730,A,25,probe,u,0.17131581057513895
244,18730,A,25,probe,u,0.16646614047478528
245,18730,A,25,probe,f,0.167225747786444
246,18730,A,30,probe,u,0.16997100435385776
247,18730,A,30,probe,a,0.18960702085298883
248,18730,A,30,probe,f,0.18093892451103882
249,18730,A,30,probe,u,0.1612877630581301
250,18730,A,30,probe,u,0.18020174453895388
251,18730,A,30,probe,f,0.1684815097197603
252,22173,B,5,probe,f,0.012345744773609125
253,22173,B,5,probe,a,0.05719540006172603
254,22173,B,5,probe,u,0.015524630855820913
255,22173,B,5,probe,u,0.018472185349358666
256,22173,B,5,probe,f,0.04438996501766608
257,22173,B,10,probe,f,0.014433564421521957
258,22173,B,10,probe,a,0.07779144904930305
259,22173,B,10,probe,u,0.014739170944390194
260,22173,B,10,probe,u,0.02392054272266593
261,22173,B,10,probe,f,0.032711209102758806
262,22173,B,15,probe,f,0.016122405264918215
263,22173,B,15,probe,a,0.5592127580062362
264,22173,B,15,probe,a,0.07867208277209758
265,22173,B,15,probe,u,0.015399221617311283
266,22173,B,15,probe,u,0.055152179802532425
267,22173,B,15,probe,f,0.03026835891656506
268,22173,B,20,probe,f,0.01832265590937341
269,22173,B,20,probe,a,0.4711832151340577
270,22173,B,20,probe,a,0.09120375279947483
271,22173,B,20,probe,u,0.01717829710450415
272,22173,B,20,probe,u,0.24627968948864642
273,22173,B,20,probe,f,0.0277613881882462
274,22173,B,25,probe,f,0.018989574775044364
275,22173,B,25,probe,a,0.4177177580528739
276,22173,B,25,probe,a,0.09264601940677489
277,22173,B,25,probe,u,0.019686593620500976
278,22173,B,25,probe,u,0.34274885806421834
279,22173,B,25,probe,f,0.02787066210065027
280,22173,B,30,probe,f,0.021545671176427278
281,22173,B,30,probe,a,0.36483228641488985
282,22173,B,30,probe,a,0.09291932803968289
283,22173,B,30,probe,u,0.032923506325351376
284,22173,B,30,probe,u,0.30328993417048883
285,22173,B,30,probe,f,0.02901792044943672
286,24670,A,5,probe,u,0.008047939399665237
287,24670,A,5,probe,a,0.022251330625190198
288,24670,A,5,probe,u,0.0179170945587686
289,24670,A,5,probe,a,0.00805864843874451
290,24670,A,10,probe,u,0.008900022123103053
291,24670,A,10,probe,a,0.02345625806430571
292,24670,A,10,probe,u,0.02359206455914075
293,24670,A,10,probe,a,0.010652726306413358
294,24670,A,15,probe,u,0.009779732901631769
295,24670,A,15,probe,a,0.02233408162690464
296,24670,A,15,probe,u,0.021763316964043294
297,24670,A,15,probe,a,0.010981562316601513
298,24670,A,20,probe,u,0.009461752222556984
299,24670,A,20,probe,a,0.021748947286704023
300,24670,A,20,probe,u,0.023296513275285684
301,24670,A,20,probe,a,0.011494296102879045
302,24670,A,25,probe,u,0.009630789393810797
303,24670,A,25,probe,a,0.019133082013857952
304,24670,A,25,probe,u,0.023819212270481855
305,24670,A,25,probe,a,0.012122353249118634
306,24670,A,30,probe,u,0.009347599088663934
307,24670,A,30,probe,a,0.01725025271745115
308,24670,A,30,probe,u,0.021694414958668456
309,24670,A,30,probe,a,0.012036039479356206
310,26191,A,5,probe,f,0.02224601972031879
311,26191,A,5,probe,a,0.06865912487796987
312,26191,A,5,probe,f,0.018459006986226958
313,26191,A,5,probe,f,0.031015588395093222
314,26191,A,5,probe,f,0.04203919113441202
315,26191,A,5,probe,f,0.0452722310869791
316,26191,A,10,probe,f,0.049095137504247516
317,26191,A,10,probe,a,0.06278699357375418
318,26191,A,10,probe,f,0.025808809520438587
319,26191,A,10,probe,f,0.02239380314012379
320,26191,A,10,probe,f,0.04744422641095787
321,26191,A,10,probe,f,0.03587422363424018
322,26191,A,15,probe,f,0.047100282614019655
323,26191,A,15,probe,a,0.05157494590047737
324,26191,A,15,probe,f,0.0334688161536389
325,26191,A,15,probe,f,0.028509003081177094
326,26191,A,15,probe,f,0.051207959733852566
327,26191,A,15,probe,f,0.028823260750479678
328,26191,A,20,probe,f,0.0510022263586263
329,26191,A,20,probe,a,0.04296633974834209
330,26191,A,20,probe,f,0.03195154897879931
331,26191,A,20,probe,f,0.03517184207510995
332,26191,A,20,probe,f,0.047786209013913665
333,26191,A,20,probe,f,0.035309396726525395
334,26191,A,25,probe,f,0.04788807876786019
335,26191,A,25,probe,a,0.03969081588243931
336,26191,A,25,probe,f,0.03474150717747116
337,26191,A,25,probe,f,0.03751056282124039
338,26191,A,25,probe,f,0.044327077916997235
339,26191,A,25,probe,f,0.03408496029274159
340,26191,A,30,probe,f,0.044104890356297395
341,26191,A,30,probe,a,0.03642134348816945
342,26191,A,30,probe,f,0.03256285490631451
343,26191,A,30,probe,f,0.04082771861542509
344,26191,A,30,probe,f,0.04461374239684371
345,26191,A,30,probe,f,0.0359950899100844
346,26810,A,5,probe,a,0.032134164796188566
347,26810,A,5,probe,f,0.07714407370271209
348,26810,A,5,probe,u,0.07651086749023235
349,26810,A,5,probe,f,0.02584765693918783
350,26810,A,5,probe,u,0.034281005984960616
351,26810,A,10,probe,a,0.023148649887964095
352,26810,A,10,probe,f,0.05826442107379345
353,26810,A,10,probe,u,0.06881103991210205
354,26810,A,10,probe,f,0.023165620610576542
355,26810,A,10,probe,u,0.027912938235084818
356,26810,A,15,probe,a,0.028823125617951518
357,26810,A,15,probe,f,0.06156599417082289
358,26810,A,15,probe,u,0.06064026174573532
359,26810,A,15,probe,f,0.0208991923966646
360,26810,A,15,probe,u,0.025822631234310132
361,26810,A,20,probe,a,0.03609518053932292
362,26810,A,20,probe,f,0.06263264488713584
363,26810,A,20,probe,u,0.05318664901654942
364,26810,A,20,probe,f,0.036166782315008576
365,26810,A,20,probe,u,0.023482218805041317
366,26810,A,25,probe,a,0.03831703113997641
367,26810,A,25,probe,f,0.06167089079095979
368,26810,A,25,probe,u,0.04818869498291845
369,26810,A,25,probe,f,0.044197493724927574
370,26810,A,25,probe,u,0.022164183344377184
371,26810,A,30,probe,a,0.04642550432896486
372,26810,A,30,probe,f,0.06211701420628796
373,26810,A,30,probe,u,0.043271246928611555
374,26810,A,30,probe,f,0.042291728435323056
375,26810,A,30,probe,u,0.02636458899962486
376,27777,A,5,probe,f,0.027140868351568207
377,27777,A,5,probe,u,0.052369175047094346
378,27777,A,5,probe,f,0.044040582957765737
379,27777,A,5,probe,f,0.022268925629106647
380,27777,A,5,probe,f,0.03560965569388844
381,27777,A,5,probe,f,0.03598439763731325
382,27777,A,10,probe,f,0.02991848619640504
383,27777,A,10,probe,u,0.0442125750657684
384,27777,A,10,probe,f,0.04888409121688884
385,27777,A,10,probe,f,0.020754306809485448
386,27777,A,10,probe,f,0.055449179703953
387,27777,A,10,probe,f,0.02773989004070667
388,27777,A,15,probe,f,0.03433782475539848
389,27777,A,15,probe,u,0.03928283182743952
390,27777,A,15,probe,f,0.05409820512425835
391,27777,A,15,probe,f,0.020082317090044696
392,27777,A,15,probe,f,0.051196317244355034
393,27777,A,15,probe,f,0.028528960996729382
394,27777,A,20,probe,f,0.03164118694589156
395,27777,A,20,probe,u,0.03558730195361862
396,27777,A,20,probe,f,0.05037934765875901
397,27777,A,20,probe,f,0.019464629819777982
398,27777,A,20,probe,f,0.05458271227632063
399,27777,A,20,probe,f,0.04434613141812495
400,27777,A,25,probe,f,0.032810712549963116
401,27777,A,25,probe,u,0.032506906466009226
402,27777,A,25,probe,f,0.04615291410888915
403,27777,A,25,probe,f,0.01825361203361778
404,27777,A,25,probe,f,0.05284268768535715
405,27777,A,25,probe,f,0.04444230983580296
406,27777,A,30,probe,f,0.03402878580267111
407,27777,A,30,probe,u,0.033650776296887515
408,27777,A,30,probe,f,0.04159635893371049
409,27777,A,30,probe,f,0.017410048844401973
410,27777,A,30,probe,f,0.04937318665002301
411,27777,A,30,probe,f,0.042281537179548564
412,28591,A,5,probe,f,0.01344637065432583
413,28591,A,5,probe,a,0.024341727155664163
414,28591,A,5,probe,a,0.05443626805394614
415,28591,A,5,probe,f,0.01938994015797504
416,28591,A,5,probe,u,0.019679322934020686
417,28591,A,5,probe,a,0.050141613044040474
418,28591,A,10,probe,f,0.013082752458751904
419,28591,A,10,probe,a,0.035141284222580345
420,28591,A,10,probe,a,0.04086914324738525
421,28591,A,10,probe,f,0.021360726291790998
422,28591,A,10,probe,u,0.02088563687356097
423,28591,A,10,probe,a,0.04358226630060538
424,28591,A,15,probe,f,0.014802403378891724
425,28591,A,15,probe,a,0.030351221150974234
426,28591,A,15,probe,a,0.03956988934210345
427,28591,A,15,probe,f,0.021694243888701916
428,28591,A,15,probe,u,0.02034566394447359
429,28591,A,15,probe,a,0.038987295577261126
430,28591,A,20,probe,f,0.017785563337039068
431,28591,A,20,probe,a,0.0259908103409514
432,28591,A,20,probe,a,0.040938696675446425
433,28591,A,20,probe,f,0.021263763716258374
434,28591,A,20,probe,u,0.019236673308408545
435,28591,A,20,probe,a,0.037136920433498956
436,28591,A,25,probe,f,0.01639821915758342
437,28591,A,25,probe,a,0.026619618474250005
438,28591,A,25,probe,a,0.0386188548160975
439,28591,A,25,probe,f,0.019951235573677426
440,28591,A,25,probe,u,0.019345298215566756
441,28591,A,25,probe,a,0.03436580463825187
442,28591,A,30,probe,f,0.016800791671795694
443,28591,A,30,probe,a,0.025454771986840808
444,28591,A,30,probe,a,0.03711130012947976
445,28591,A,30,probe,f,0.022180486939254236
446,28591,A,30,probe,u,0.018303668992548403
447,28591,A,30,probe,a,0.03536949047754442
448,28942,A,5,probe,a,0.007320203987547749
449,28942,A,5,probe,f,0.011056220967771414
450,28942,A,5,probe,a,0.01633932435358197
451,28942,A,5,probe,f,0.014515390038940692
452,28942,A,5,probe,u,0.023516622459391293
453,28942,A,5,probe,f,0.02249763197860579
454,28942,A,10,probe,a,0.008546428359766855
455,28942,A,10,probe,f,0.009742716105798766
456,28942,A,10,probe,a,0.014099448896354439
457,28942,A,10,probe,f,0.016826113631464117
